Keyword;Search Volume;CPC;Competition
amplitude;49500;12.62;0.15
analytics;49500;4.71;0.07
amplitude amplitude;18100;12.62;0.15
analyse database;12100;5.88;0.25
metabase;12100;5.7;0.19
superset;12100;0.1;0.03
what is amplitude;12100;11.63;0.01
metabasic;8100;5.7;0.19
superset superset;8100;0.1;0.03
ampl;5400;0;0
dashboards;5400;3.45;0.05
power bi dashboard;5400;3.42;0.27
apache superset;3600;3.15;0.07
dashboard design;3600;1.34;0.38
power bi dashboards;2400;3.42;0.27
