Keyword;Search Volume;CPC;Competition
suicide hotline;165000;3.81;0
988;90500;0;0
suicide;90500;0;0
help me;33100;5.29;0.03
crisis;27100;4.53;0.03
crisis hotline;27100;3.86;0.63
suicidal tendencies;27100;0;0
988 hotline;22200;0;0
i'm thinking of ending things;22200;0.05;0.01
suicide prevention;22200;0;0
suicide prevention hotline;22200;0;0
crisis text line;18100;2.67;0.05
hotline suicide prevention;18100;0;0
how to save a life;18100;3.21;0
mental breakdown;18100;3.84;0.12
