Keyword;Search Volume;CPC;Competition
chatgpt;55600000;0.13;0.25
chat gpt;37200000;0.13;0.25
you;6120000;0.01;0.04
character ai;2240000;0.02;0.09
chat;1830000;0.22;0.12
chat gbt;1830000;1.71;0.07
chatgbt;1500000;0.13;0.25
gpt;1500000;0.09;0.21
openai;1220000;0.29;0.08
ch;673000;1.02;0.03
chat got;673000;0.13;0.25
chat gtp;673000;0.13;0.25
chatgot;673000;0.13;0.25
gpt chat;673000;0.11;0.26
chatgpt free;550000;1.2;0.3
